mRNA	microRNA	lncRNA
NFIC	hsa-miR-590-3p	ZFAS1
C5orf41	hsa-miR-96-5p	WAC-AS1
CYYR1	hsa-miR-96-5p	WAC-AS1
DAB2	hsa-miR-96-5p	WAC-AS1
DMXL1	hsa-miR-96-5p	WAC-AS1
FAM104A	hsa-miR-218-5p	WAC-AS1
FOXO1	hsa-miR-96-5p	WAC-AS1
GRINL1A	hsa-miR-96-5p	WAC-AS1
JAZF1	hsa-miR-96-5p	WAC-AS1
LPPR4	hsa-miR-96-5p	WAC-AS1
MBNL1	hsa-miR-96-5p	WAC-AS1
MITF	hsa-miR-96-5p	WAC-AS1
NR3C1	hsa-miR-96-5p	WAC-AS1
OLR1	hsa-miR-320b	WAC-AS1
PCGF5	hsa-miR-96-5p	WAC-AS1
PDLIM5	hsa-miR-96-5p	WAC-AS1
PRKAR1A	hsa-miR-96-5p	WAC-AS1
RAPH1	hsa-miR-320b	WAC-AS1
RHOA	hsa-miR-96-5p	WAC-AS1
RPS6KB1	hsa-miR-218-5p	WAC-AS1
SLC35A1	hsa-miR-96-5p	WAC-AS1
TGFBR2	hsa-miR-96-5p	WAC-AS1
TMEM19	hsa-miR-96-5p	WAC-AS1
TOB1	hsa-miR-96-5p	WAC-AS1
WNK1	hsa-miR-320b	WAC-AS1
ABAT	hsa-miR-21-5p	TUG1
ADAM10	hsa-miR-29b-3p	TUG1
ADPGK	hsa-miR-410-3p	TUG1
AHSA2	hsa-miR-212-3p	TUG1
AKAP13	hsa-miR-9-5p	TUG1
ALDH1A1	hsa-miR-21-5p	TUG1
ANXA1	hsa-miR-196a-5p	TUG1
ARID4A	hsa-miR-590-5p	TUG1
ARID4A	hsa-miR-9-5p	TUG1
ARNT	hsa-miR-222-3p	TUG1
ARRDC3	hsa-miR-196b-5p	TUG1
ARRDC3	hsa-miR-421	TUG1
ARRDC3	hsa-miR-9-5p	TUG1
ASH1L	hsa-miR-425-5p	TUG1
ATP2B1	hsa-miR-29b-3p	TUG1
AUH	hsa-miR-21-5p	TUG1
BTG2	hsa-miR-196b-5p	TUG1
BTG2	hsa-miR-21-5p	TUG1
BTG2	hsa-miR-590-5p	TUG1
BTG2	hsa-miR-9-5p	TUG1
C1QTNF6	hsa-miR-29c-3p	TUG1
C5orf13	hsa-miR-29b-3p	TUG1
C5orf33	hsa-miR-29a-3p	TUG1
C9orf68	hsa-miR-196b-5p	TUG1
CABYR	hsa-miR-221-3p	TUG1
CABYR	hsa-miR-222-3p	TUG1
CAPN2	hsa-miR-212-3p	TUG1
CASC4	hsa-miR-590-5p	TUG1
CCDC138	hsa-miR-29c-3p	TUG1
CCDC99	hsa-miR-29a-3p	TUG1
CCDC99	hsa-miR-29c-3p	TUG1
CCNJ	hsa-miR-29c-3p	TUG1
CD47	hsa-miR-194-5p	TUG1
CD55	hsa-miR-505-3p	TUG1
CDC42SE2	hsa-miR-590-5p	TUG1
CDC7	hsa-miR-29a-3p	TUG1
CDC7	hsa-miR-29c-3p	TUG1
CDK2	hsa-miR-29a-3p	TUG1
CDK2	hsa-miR-29b-3p	TUG1
CDK2	hsa-miR-29c-3p	TUG1
CELF2	hsa-miR-196b-5p	TUG1
CELF2	hsa-miR-425-5p	TUG1
CENPK	hsa-miR-29a-3p	TUG1
CENPK	hsa-miR-29c-3p	TUG1
CHD7	hsa-miR-221-3p	TUG1
CITED2	hsa-miR-421	TUG1
COL1A1	hsa-miR-29c-3p	TUG1
COL1A1	hsa-miR-335-5p	TUG1
COL3A1	hsa-miR-186-5p	TUG1
COL3A1	hsa-miR-335-5p	TUG1
COL5A2	hsa-miR-29c-3p	TUG1
CPEB3	hsa-miR-590-5p	TUG1
CRKL	hsa-miR-29b-3p	TUG1
CTDSPL2	hsa-miR-29b-3p	TUG1
DCAF7	hsa-miR-29b-3p	TUG1
DCAF7	hsa-miR-365a-3p	TUG1
DDX17	hsa-miR-212-3p	TUG1
DDX52	hsa-miR-29a-3p	TUG1
DEPDC1	hsa-miR-29a-3p	TUG1
DEPDC1	hsa-miR-29c-3p	TUG1
DNMT3A	hsa-miR-29a-3p	TUG1
DNMT3A	hsa-miR-29c-3p	TUG1
DSC2	hsa-miR-29c-3p	TUG1
EIF4EBP2	hsa-miR-21-5p	TUG1
ELF2	hsa-miR-21-5p	TUG1
ELK1	hsa-miR-29a-3p	TUG1
EMP2	hsa-miR-421	TUG1
EXOC8	hsa-miR-196b-5p	TUG1
FAM105B	hsa-miR-29a-3p	TUG1
FAM105B	hsa-miR-29c-3p	TUG1
FAM190B	hsa-miR-590-5p	TUG1
FAS	hsa-miR-196a-5p	TUG1
FAS	hsa-miR-425-5p	TUG1
FBN1	hsa-miR-425-5p	TUG1
FBXO3	hsa-miR-21-5p	TUG1
FBXO45	hsa-miR-29a-3p	TUG1
FBXO45	hsa-miR-29c-3p	TUG1
FERMT2	hsa-miR-194-5p	TUG1
FOXN2	hsa-miR-29b-3p	TUG1
FRS2	hsa-miR-29b-3p	TUG1
FYTTD1	hsa-miR-29b-3p	TUG1
GLCCI1	hsa-miR-31-5p	TUG1
GPN1	hsa-miR-29c-3p	TUG1
GPR64	hsa-miR-590-5p	TUG1
HBP1	hsa-miR-425-5p	TUG1
HBP1	hsa-miR-9-5p	TUG1
HELLS	hsa-miR-145-5p	TUG1
HNMT	hsa-miR-590-5p	TUG1
HNMT	hsa-miR-9-5p	TUG1
IRAK1BP1	hsa-miR-21-5p	TUG1
IREB2	hsa-miR-29b-3p	TUG1
ITM2B	hsa-miR-197-3p	TUG1
KBTBD6	hsa-miR-21-5p	TUG1
KDELC1	hsa-miR-29a-3p	TUG1
KDELC1	hsa-miR-29b-3p	TUG1
KDELC1	hsa-miR-29c-3p	TUG1
KIAA1109	hsa-miR-590-5p	TUG1
KIF21A	hsa-miR-222-3p	TUG1
KLF3	hsa-miR-29b-3p	TUG1
KLF9	hsa-miR-590-5p	TUG1
KPNB1	hsa-miR-145-5p	TUG1
KPNB1	hsa-miR-29b-3p	TUG1
KPNB1	hsa-miR-29c-3p	TUG1
LARP6	hsa-miR-29b-3p	TUG1
LEMD3	hsa-miR-222-3p	TUG1
LEPRE1	hsa-miR-29a-3p	TUG1
LEPRE1	hsa-miR-29c-3p	TUG1
LHFP	hsa-miR-590-5p	TUG1
LIMS1	hsa-miR-29b-3p	TUG1
LRRC58	hsa-miR-29b-3p	TUG1
LRRC59	hsa-miR-29c-3p	TUG1
LYSMD1	hsa-miR-221-3p	TUG1
LYSMD1	hsa-miR-222-3p	TUG1
MAMDC2	hsa-miR-196b-5p	TUG1
MAMDC2	hsa-miR-590-5p	TUG1
MAP3K1	hsa-miR-590-5p	TUG1
MATN2	hsa-miR-21-5p	TUG1
MBNL1	hsa-miR-425-5p	TUG1
MBNL1	hsa-miR-590-5p	TUG1
MBTD1	hsa-miR-29a-3p	TUG1
MECOM	hsa-miR-9-5p	TUG1
MEF2A	hsa-miR-590-5p	TUG1
MEST	hsa-miR-29b-3p	TUG1
MEST	hsa-miR-29c-3p	TUG1
METAP2	hsa-miR-29b-3p	TUG1
MGA	hsa-miR-29b-3p	TUG1
MLLT11	hsa-miR-29a-3p	TUG1
MLLT11	hsa-miR-29c-3p	TUG1
MSH2	hsa-miR-145-5p	TUG1
MSH2	hsa-miR-29a-3p	TUG1
MSH2	hsa-miR-29b-3p	TUG1
MSH2	hsa-miR-29c-3p	TUG1
MTBP	hsa-miR-29a-3p	TUG1
MTBP	hsa-miR-29c-3p	TUG1
MTHFD1L	hsa-miR-29c-3p	TUG1
MYBL2	hsa-miR-29a-3p	TUG1
MYBL2	hsa-miR-29c-3p	TUG1
N4BP2L1	hsa-miR-590-5p	TUG1
NAA25	hsa-miR-145-5p	TUG1
NAP1L1	hsa-miR-145-5p	TUG1
NASP	hsa-miR-29c-3p	TUG1
NDFIP1	hsa-miR-590-5p	TUG1
NFIA	hsa-miR-9-5p	TUG1
NHLRC2	hsa-miR-222-3p	TUG1
NIPSNAP3A	hsa-miR-370-3p	TUG1
NPM3	hsa-miR-29c-3p	TUG1
NUDCD1	hsa-miR-29c-3p	TUG1
OIP5	hsa-miR-29b-3p	TUG1
PFN2	hsa-miR-29c-3p	TUG1
PHTF2	hsa-miR-194-5p	TUG1
PHTF2	hsa-miR-29c-3p	TUG1
PIAS4	hsa-miR-29a-3p	TUG1
PITPNM2	hsa-miR-221-3p	TUG1
PNMA2	hsa-miR-196b-5p	TUG1
PNMA2	hsa-miR-425-5p	TUG1
PNMA2	hsa-miR-590-5p	TUG1
PNMA2	hsa-miR-9-5p	TUG1
PPM1D	hsa-miR-29b-3p	TUG1
PPT1	hsa-miR-194-5p	TUG1
PRKAB2	hsa-miR-29a-3p	TUG1
PRKCE	hsa-miR-590-5p	TUG1
PRPS1	hsa-miR-29b-3p	TUG1
PRUNE	hsa-miR-221-3p	TUG1
PRUNE	hsa-miR-222-3p	TUG1
PSMD11	hsa-miR-29b-3p	TUG1
PSMD11	hsa-miR-29c-3p	TUG1
PSMD12	hsa-miR-29c-3p	TUG1
PTEN	hsa-miR-425-5p	TUG1
PURA	hsa-miR-590-5p	TUG1
RAB3GAP2	hsa-miR-222-3p	TUG1
RALA	hsa-miR-29c-3p	TUG1
RAPH1	hsa-miR-421	TUG1
RASGRP1	hsa-miR-590-5p	TUG1
RDX	hsa-miR-29b-3p	TUG1
RNMT	hsa-miR-29a-3p	TUG1
ROBO2	hsa-miR-21-5p	TUG1
ROBO2	hsa-miR-590-5p	TUG1
RRM1	hsa-miR-29a-3p	TUG1
RRM1	hsa-miR-29b-3p	TUG1
SACM1L	hsa-miR-382-5p	TUG1
SACM1L	hsa-miR-590-5p	TUG1
SATB1	hsa-miR-21-5p	TUG1
SENP1	hsa-miR-145-5p	TUG1
SENP1	hsa-miR-29a-3p	TUG1
SENP1	hsa-miR-29b-3p	TUG1
SENP1	hsa-miR-29c-3p	TUG1
SET	hsa-miR-29b-3p	TUG1
SGMS2	hsa-miR-9-5p	TUG1
SHPRH	hsa-miR-29a-3p	TUG1
SHPRH	hsa-miR-29b-3p	TUG1
SIP1	hsa-miR-29a-3p	TUG1
SLC2A13	hsa-miR-590-5p	TUG1
SMARCA2	hsa-miR-421	TUG1
SMARCA2	hsa-miR-590-5p	TUG1
SMC1A	hsa-miR-29a-3p	TUG1
SMC1A	hsa-miR-29b-3p	TUG1
SNRNP48	hsa-miR-221-3p	TUG1
SNTB2	hsa-miR-590-5p	TUG1
SOCS5	hsa-miR-590-5p	TUG1
SPAST	hsa-miR-29c-3p	TUG1
SPRED1	hsa-miR-196b-5p	TUG1
SPRED2	hsa-miR-421	TUG1
SPRED2	hsa-miR-590-5p	TUG1
SPRY1	hsa-miR-590-5p	TUG1
STAG2	hsa-miR-29b-3p	TUG1
STRN4	hsa-miR-29c-3p	TUG1
SUDS3	hsa-miR-221-3p	TUG1
SUDS3	hsa-miR-222-3p	TUG1
TAF11	hsa-miR-29a-3p	TUG1
TBCCD1	hsa-miR-29a-3p	TUG1
TBCCD1	hsa-miR-29b-3p	TUG1
TDG	hsa-miR-221-3p	TUG1
TDG	hsa-miR-29a-3p	TUG1
TDG	hsa-miR-29b-3p	TUG1
TDG	hsa-miR-29c-3p	TUG1
TFAM	hsa-miR-29b-3p	TUG1
TGFBR2	hsa-miR-196b-5p	TUG1
TGFBR2	hsa-miR-425-5p	TUG1
TGFBR2	hsa-miR-590-5p	TUG1
TGFBR2	hsa-miR-9-5p	TUG1
TLE3	hsa-miR-222-3p	TUG1
TMEM117	hsa-miR-29a-3p	TUG1
TMEM159	hsa-miR-132-3p	TUG1
TMEM159	hsa-miR-421	TUG1
TMEM65	hsa-miR-29c-3p	TUG1
TMSB15B	hsa-miR-29a-3p	TUG1
TMTC3	hsa-miR-29a-3p	TUG1
TMTC3	hsa-miR-29b-3p	TUG1
TMTC3	hsa-miR-29c-3p	TUG1
TRPM7	hsa-miR-21-5p	TUG1
TSC22D3	hsa-miR-421	TUG1
TSPAN12	hsa-miR-21-5p	TUG1
UHRF1BP1L	hsa-miR-29b-3p	TUG1
USP37	hsa-miR-29a-3p	TUG1
USP37	hsa-miR-29b-3p	TUG1
VTA1	hsa-miR-29a-3p	TUG1
VTA1	hsa-miR-29b-3p	TUG1
WDR7	hsa-miR-21-5p	TUG1
XBP1	hsa-miR-221-3p	TUG1
XBP1	hsa-miR-222-3p	TUG1
YOD1	hsa-miR-421	TUG1
ZC3H7A	hsa-miR-222-3p	TUG1
ZEB1	hsa-miR-590-5p	TUG1
ZFR	hsa-miR-29a-3p	TUG1
ZFR	hsa-miR-29b-3p	TUG1
ZMYM2	hsa-miR-221-3p	TUG1
ZNF236	hsa-miR-221-3p	TUG1
ZNF28	hsa-miR-29a-3p	TUG1
ZNF28	hsa-miR-29b-3p	TUG1
ZNF519	hsa-miR-29a-3p	TUG1
ZNF765	hsa-miR-29a-3p	TUG1
ZNF765	hsa-miR-29b-3p	TUG1
ZNHIT6	hsa-miR-194-5p	TUG1
ACTL6A	hsa-miR-30a-5p	TPT1-AS1
ACTL6A	hsa-miR-30b-5p	TPT1-AS1
ACTL6A	hsa-miR-30c-5p	TPT1-AS1
ACTL6A	hsa-miR-30d-5p	TPT1-AS1
ACTR3	hsa-miR-30b-5p	TPT1-AS1
ACTR3	hsa-miR-30c-5p	TPT1-AS1
ACTR3	hsa-miR-30d-5p	TPT1-AS1
ACTR3	hsa-miR-30e-5p	TPT1-AS1
ACTR3B	hsa-miR-30a-5p	TPT1-AS1
ADIPOR2	hsa-miR-30b-5p	TPT1-AS1
ADIPOR2	hsa-miR-30d-5p	TPT1-AS1
AGPS	hsa-miR-30b-5p	TPT1-AS1
AGPS	hsa-miR-30c-5p	TPT1-AS1
AGPS	hsa-miR-30e-5p	TPT1-AS1
ALG10	hsa-miR-30b-5p	TPT1-AS1
ALG10	hsa-miR-30c-5p	TPT1-AS1
ALG10	hsa-miR-30d-5p	TPT1-AS1
AP1AR	hsa-miR-30c-5p	TPT1-AS1
AP2A1	hsa-miR-30d-5p	TPT1-AS1
AQR	hsa-miR-30b-5p	TPT1-AS1
ARHGAP11A	hsa-miR-30a-5p	TPT1-AS1
ARHGAP11A	hsa-miR-30b-5p	TPT1-AS1
ARHGAP11A	hsa-miR-30c-5p	TPT1-AS1
ARHGAP11A	hsa-miR-30d-5p	TPT1-AS1
ARHGAP11A	hsa-miR-30e-5p	TPT1-AS1
ARL5B	hsa-miR-30c-5p	TPT1-AS1
ASXL2	hsa-miR-30b-5p	TPT1-AS1
ASXL2	hsa-miR-30c-5p	TPT1-AS1
ATAD2	hsa-miR-30a-5p	TPT1-AS1
ATAD2	hsa-miR-30c-5p	TPT1-AS1
ATAD3A	hsa-miR-30a-5p	TPT1-AS1
ATAD5	hsa-miR-30a-5p	TPT1-AS1
ATAD5	hsa-miR-30d-5p	TPT1-AS1
ATF1	hsa-miR-30c-5p	TPT1-AS1
ATP2A2	hsa-miR-30a-5p	TPT1-AS1
ATP2A2	hsa-miR-30c-5p	TPT1-AS1
AURKB	hsa-miR-30b-5p	TPT1-AS1
AVEN	hsa-miR-30b-5p	TPT1-AS1
AVEN	hsa-miR-30d-5p	TPT1-AS1
AVL9	hsa-miR-30b-5p	TPT1-AS1
AVL9	hsa-miR-30c-5p	TPT1-AS1
AVL9	hsa-miR-30d-5p	TPT1-AS1
B3GNT5	hsa-miR-30b-5p	TPT1-AS1
B3GNT5	hsa-miR-30d-5p	TPT1-AS1
B4GALT4	hsa-miR-30d-5p	TPT1-AS1
BAG4	hsa-miR-30b-5p	TPT1-AS1
BAG4	hsa-miR-30c-5p	TPT1-AS1
BAZ1B	hsa-miR-30c-5p	TPT1-AS1
BRIX1	hsa-miR-30a-5p	TPT1-AS1
BUB1	hsa-miR-30a-5p	TPT1-AS1
BUB1	hsa-miR-30b-5p	TPT1-AS1
BUB1	hsa-miR-30c-5p	TPT1-AS1
BUB1	hsa-miR-30d-5p	TPT1-AS1
BUB1	hsa-miR-30e-5p	TPT1-AS1
C10orf119	hsa-miR-30c-5p	TPT1-AS1
C12orf23	hsa-miR-30a-5p	TPT1-AS1
C12orf32	hsa-miR-30a-5p	TPT1-AS1
C12orf32	hsa-miR-30b-5p	TPT1-AS1
C12orf32	hsa-miR-30d-5p	TPT1-AS1
C12orf48	hsa-miR-30a-5p	TPT1-AS1
C12orf48	hsa-miR-30b-5p	TPT1-AS1
C12orf48	hsa-miR-30c-5p	TPT1-AS1
C12orf48	hsa-miR-30d-5p	TPT1-AS1
C12orf48	hsa-miR-30e-5p	TPT1-AS1
C13orf37	hsa-miR-30b-5p	TPT1-AS1
C13orf37	hsa-miR-30c-5p	TPT1-AS1
C13orf37	hsa-miR-30d-5p	TPT1-AS1
C1orf112	hsa-miR-30a-5p	TPT1-AS1
C1orf112	hsa-miR-30d-5p	TPT1-AS1
C1orf135	hsa-miR-30a-5p	TPT1-AS1
C1orf135	hsa-miR-30b-5p	TPT1-AS1
C1orf135	hsa-miR-30d-5p	TPT1-AS1
C1orf174	hsa-miR-30d-5p	TPT1-AS1
C1QL1	hsa-miR-30d-5p	TPT1-AS1
C20orf24	hsa-miR-30d-5p	TPT1-AS1
C4orf46	hsa-miR-30a-5p	TPT1-AS1
C4orf46	hsa-miR-30d-5p	TPT1-AS1
C8orf76	hsa-miR-30a-5p	TPT1-AS1
CALU	hsa-miR-30a-5p	TPT1-AS1
CALU	hsa-miR-30b-5p	TPT1-AS1
CALU	hsa-miR-30c-5p	TPT1-AS1
CALU	hsa-miR-30d-5p	TPT1-AS1
CALU	hsa-miR-30e-5p	TPT1-AS1
CAND1	hsa-miR-30b-5p	TPT1-AS1
CAND1	hsa-miR-30c-5p	TPT1-AS1
CAND1	hsa-miR-30d-5p	TPT1-AS1
CAPZA1	hsa-miR-30b-5p	TPT1-AS1
CAPZA1	hsa-miR-30d-5p	TPT1-AS1
CARS	hsa-miR-30d-5p	TPT1-AS1
CBX1	hsa-miR-30a-5p	TPT1-AS1
CBX1	hsa-miR-30c-5p	TPT1-AS1
CBX1	hsa-miR-30e-5p	TPT1-AS1
CBX2	hsa-miR-30a-5p	TPT1-AS1
CBX2	hsa-miR-30d-5p	TPT1-AS1
CBX3	hsa-miR-30a-5p	TPT1-AS1
CCDC34	hsa-miR-30a-5p	TPT1-AS1
CCDC34	hsa-miR-30b-5p	TPT1-AS1
CCDC34	hsa-miR-30d-5p	TPT1-AS1
CCDC43	hsa-miR-30a-5p	TPT1-AS1
CCDC43	hsa-miR-30c-5p	TPT1-AS1
CCNE2	hsa-miR-30a-5p	TPT1-AS1
CCNF	hsa-miR-30a-5p	TPT1-AS1
CCNF	hsa-miR-30d-5p	TPT1-AS1
CDC7	hsa-miR-30a-5p	TPT1-AS1
CDC7	hsa-miR-30b-5p	TPT1-AS1
CDC7	hsa-miR-30d-5p	TPT1-AS1
CDCA8	hsa-miR-30a-5p	TPT1-AS1
CDCA8	hsa-miR-30b-5p	TPT1-AS1
CDCA8	hsa-miR-30d-5p	TPT1-AS1
CDH2	hsa-miR-30e-5p	TPT1-AS1
CDK12	hsa-miR-30c-5p	TPT1-AS1
CDK8	hsa-miR-30b-5p	TPT1-AS1
CDK8	hsa-miR-30d-5p	TPT1-AS1
CELSR3	hsa-miR-30a-5p	TPT1-AS1
CENPA	hsa-miR-30b-5p	TPT1-AS1
CENPA	hsa-miR-30c-5p	TPT1-AS1
CENPE	hsa-miR-30a-5p	TPT1-AS1
CENPE	hsa-miR-30b-5p	TPT1-AS1
CENPE	hsa-miR-30c-5p	TPT1-AS1
CENPE	hsa-miR-30d-5p	TPT1-AS1
CENPW	hsa-miR-30a-5p	TPT1-AS1
CENPW	hsa-miR-30b-5p	TPT1-AS1
CENPW	hsa-miR-30d-5p	TPT1-AS1
CEP76	hsa-miR-30b-5p	TPT1-AS1
CHORDC1	hsa-miR-30a-5p	TPT1-AS1
CISD2	hsa-miR-30a-5p	TPT1-AS1
CISD2	hsa-miR-30d-5p	TPT1-AS1
CKAP4	hsa-miR-30b-5p	TPT1-AS1
CKAP4	hsa-miR-30c-5p	TPT1-AS1
CKAP4	hsa-miR-30d-5p	TPT1-AS1
CKAP4	hsa-miR-30e-5p	TPT1-AS1
CMAS	hsa-miR-30b-5p	TPT1-AS1
CMAS	hsa-miR-30c-5p	TPT1-AS1
CMAS	hsa-miR-30d-5p	TPT1-AS1
COL12A1	hsa-miR-30a-5p	TPT1-AS1
CPD	hsa-miR-30c-5p	TPT1-AS1
CPD	hsa-miR-30e-5p	TPT1-AS1
CTCF	hsa-miR-30c-5p	TPT1-AS1
CTDSPL2	hsa-miR-30b-5p	TPT1-AS1
CTHRC1	hsa-miR-30a-5p	TPT1-AS1
CTHRC1	hsa-miR-30d-5p	TPT1-AS1
DBF4	hsa-miR-30a-5p	TPT1-AS1
DBF4	hsa-miR-30b-5p	TPT1-AS1
DBF4	hsa-miR-30d-5p	TPT1-AS1
DCUN1D5	hsa-miR-30a-5p	TPT1-AS1
DEPDC1B	hsa-miR-30a-5p	TPT1-AS1
DEPDC1B	hsa-miR-30b-5p	TPT1-AS1
DEPDC1B	hsa-miR-30c-5p	TPT1-AS1
DEPDC1B	hsa-miR-30d-5p	TPT1-AS1
DEPDC1B	hsa-miR-30e-5p	TPT1-AS1
DGKZ	hsa-miR-30d-5p	TPT1-AS1
DHX36	hsa-miR-30b-5p	TPT1-AS1
DHX36	hsa-miR-30c-5p	TPT1-AS1
DHX36	hsa-miR-30d-5p	TPT1-AS1
DIO2	hsa-miR-30a-5p	TPT1-AS1
DIP2B	hsa-miR-30b-5p	TPT1-AS1
DIP2B	hsa-miR-30c-5p	TPT1-AS1
DNAJB11	hsa-miR-30a-5p	TPT1-AS1
DNAJB11	hsa-miR-30d-5p	TPT1-AS1
DNMT3B	hsa-miR-30a-5p	TPT1-AS1
DONSON	hsa-miR-30a-5p	TPT1-AS1
DONSON	hsa-miR-30d-5p	TPT1-AS1
DSCC1	hsa-miR-30a-5p	TPT1-AS1
DSCC1	hsa-miR-30b-5p	TPT1-AS1
DSCC1	hsa-miR-30c-5p	TPT1-AS1
DSCC1	hsa-miR-30d-5p	TPT1-AS1
DSG2	hsa-miR-30b-5p	TPT1-AS1
DSG2	hsa-miR-30c-5p	TPT1-AS1
DSN1	hsa-miR-30a-5p	TPT1-AS1
DSN1	hsa-miR-30d-5p	TPT1-AS1
DUSP11	hsa-miR-30b-5p	TPT1-AS1
E2F7	hsa-miR-30b-5p	TPT1-AS1
E2F7	hsa-miR-30d-5p	TPT1-AS1
EAF1	hsa-miR-30c-5p	TPT1-AS1
EED	hsa-miR-30a-5p	TPT1-AS1
EED	hsa-miR-30b-5p	TPT1-AS1
EED	hsa-miR-30d-5p	TPT1-AS1
EHBP1	hsa-miR-30b-5p	TPT1-AS1
EHBP1	hsa-miR-30c-5p	TPT1-AS1
EHBP1	hsa-miR-30d-5p	TPT1-AS1
EIF2B1	hsa-miR-30a-5p	TPT1-AS1
EIF2B1	hsa-miR-30d-5p	TPT1-AS1
EIF2C2	hsa-miR-30a-5p	TPT1-AS1
EIF2C2	hsa-miR-30c-5p	TPT1-AS1
ENOX2	hsa-miR-30b-5p	TPT1-AS1
ERLIN1	hsa-miR-30b-5p	TPT1-AS1
ERLIN1	hsa-miR-30c-5p	TPT1-AS1
ESCO2	hsa-miR-30a-5p	TPT1-AS1
ESCO2	hsa-miR-30b-5p	TPT1-AS1
ESCO2	hsa-miR-30c-5p	TPT1-AS1
ESCO2	hsa-miR-30d-5p	TPT1-AS1
ESCO2	hsa-miR-30e-5p	TPT1-AS1
EXOSC3	hsa-miR-30a-5p	TPT1-AS1
EXOSC3	hsa-miR-30d-5p	TPT1-AS1
FAM104A	hsa-miR-30a-5p	TPT1-AS1
FAM104A	hsa-miR-30c-5p	TPT1-AS1
FAM104A	hsa-miR-30d-5p	TPT1-AS1
FAM136A	hsa-miR-30a-5p	TPT1-AS1
FAM136A	hsa-miR-30d-5p	TPT1-AS1
FAM199X	hsa-miR-30b-5p	TPT1-AS1
FAM199X	hsa-miR-30c-5p	TPT1-AS1
FAM91A1	hsa-miR-30c-5p	TPT1-AS1
FANCL	hsa-miR-30d-5p	TPT1-AS1
FBXO45	hsa-miR-30a-5p	TPT1-AS1
FBXO45	hsa-miR-30b-5p	TPT1-AS1
FBXO45	hsa-miR-30c-5p	TPT1-AS1
FBXO45	hsa-miR-30d-5p	TPT1-AS1
FIP1L1	hsa-miR-30d-5p	TPT1-AS1
FKBP3	hsa-miR-30a-5p	TPT1-AS1
FLJ36031	hsa-miR-30d-5p	TPT1-AS1
FOXA1	hsa-miR-30a-5p	TPT1-AS1
FUBP3	hsa-miR-30c-5p	TPT1-AS1
GCLC	hsa-miR-30d-5p	TPT1-AS1
GFM1	hsa-miR-30b-5p	TPT1-AS1
GFPT2	hsa-miR-30d-5p	TPT1-AS1
GNA13	hsa-miR-30b-5p	TPT1-AS1
GNA13	hsa-miR-30c-5p	TPT1-AS1
GOLT1B	hsa-miR-30b-5p	TPT1-AS1
GOLT1B	hsa-miR-30c-5p	TPT1-AS1
GOLT1B	hsa-miR-30d-5p	TPT1-AS1
GPR180	hsa-miR-30d-5p	TPT1-AS1
GSG2	hsa-miR-30a-5p	TPT1-AS1
GSG2	hsa-miR-30b-5p	TPT1-AS1
GSG2	hsa-miR-30d-5p	TPT1-AS1
GTF2E2	hsa-miR-30d-5p	TPT1-AS1
HELLS	hsa-miR-30a-5p	TPT1-AS1
HELLS	hsa-miR-30b-5p	TPT1-AS1
HELLS	hsa-miR-30c-5p	TPT1-AS1
HELLS	hsa-miR-30d-5p	TPT1-AS1
HNRNPC	hsa-miR-30a-5p	TPT1-AS1
HNRNPK	hsa-miR-30c-5p	TPT1-AS1
HSPD1	hsa-miR-30a-5p	TPT1-AS1
HSPD1	hsa-miR-30c-5p	TPT1-AS1
HSPD1	hsa-miR-30d-5p	TPT1-AS1
HSPD1	hsa-miR-30e-5p	TPT1-AS1
IKBIP	hsa-miR-30d-5p	TPT1-AS1
INCENP	hsa-miR-30a-5p	TPT1-AS1
INCENP	hsa-miR-30b-5p	TPT1-AS1
INCENP	hsa-miR-30c-5p	TPT1-AS1
INCENP	hsa-miR-30d-5p	TPT1-AS1
INTS2	hsa-miR-30b-5p	TPT1-AS1
ITGA5	hsa-miR-30d-5p	TPT1-AS1
ITGA5	hsa-miR-30e-5p	TPT1-AS1
KCTD5	hsa-miR-30d-5p	TPT1-AS1
KDELC2	hsa-miR-30b-5p	TPT1-AS1
KDELC2	hsa-miR-30d-5p	TPT1-AS1
KHDRBS1	hsa-miR-30d-5p	TPT1-AS1
KIAA0101	hsa-miR-30a-5p	TPT1-AS1
KIAA0101	hsa-miR-30b-5p	TPT1-AS1
KIAA0101	hsa-miR-30d-5p	TPT1-AS1
KIAA1033	hsa-miR-30c-5p	TPT1-AS1
KIAA1715	hsa-miR-30c-5p	TPT1-AS1
KIF11	hsa-miR-30a-5p	TPT1-AS1
KIF11	hsa-miR-30b-5p	TPT1-AS1
KIF11	hsa-miR-30c-5p	TPT1-AS1
KIF11	hsa-miR-30d-5p	TPT1-AS1
KIF11	hsa-miR-30e-5p	TPT1-AS1
KIF20B	hsa-miR-30b-5p	TPT1-AS1
KIF20B	hsa-miR-30c-5p	TPT1-AS1
KIF20B	hsa-miR-30d-5p	TPT1-AS1
KIF2C	hsa-miR-30a-5p	TPT1-AS1
KIF2C	hsa-miR-30d-5p	TPT1-AS1
KIF5B	hsa-miR-30c-5p	TPT1-AS1
KPNB1	hsa-miR-30a-5p	TPT1-AS1
KPNB1	hsa-miR-30b-5p	TPT1-AS1
KPNB1	hsa-miR-30c-5p	TPT1-AS1
KPNB1	hsa-miR-30d-5p	TPT1-AS1
KPNB1	hsa-miR-30e-5p	TPT1-AS1
